"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"170","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:10:25,FALSE,NA,"982032741087801344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pnmcdowell",11186,TRUE,FALSE,NA,NA
"171","RT @POTUS_MAGA: Harry Just Found Out How Markle REALLY Did It To First Husband And Now Royal Wedding Is Total Disaster!",FALSE,0,NA,2018-04-05 23:10:24,FALSE,NA,"982032735454638081",NA,"<a href=""https://www.twitter.com"" rel=""nofollow"">Total Disaster</a>","_total_disaster",1,TRUE,FALSE,NA,NA
"172","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:10:08,FALSE,NA,"982032669054767104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KeithPetersen13",11186,TRUE,FALSE,NA,NA
"173","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:09:56,FALSE,NA,"982032621323644928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YesforHillary",11186,TRUE,FALSE,NA,NA
"174","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:09:51,FALSE,NA,"982032599756476416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eu_father",11186,TRUE,FALSE,NA,NA
"175","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:09:49,FALSE,NA,"982032590940106752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","matthewjohns444",11186,TRUE,FALSE,NA,NA
"176","RT @NJAInteriors1: Hey @realDonaldTrump did you know the OBAMAS AND the CLINTONS are all invited to the Royal Wedding? 

That’s fricking aw…",FALSE,0,NA,2018-04-05 23:09:49,FALSE,NA,"982032589614563328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nfl49er",345,TRUE,FALSE,NA,NA
"177","RT @NJAInteriors1: Hey @realDonaldTrump did you know the OBAMAS AND the CLINTONS are all invited to the Royal Wedding? 

That’s fricking aw…",FALSE,0,NA,2018-04-05 23:09:46,FALSE,NA,"982032577048428544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CathyDobbs8",345,TRUE,FALSE,NA,NA
"178","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:09:44,FALSE,NA,"982032568680943616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nancychando26",11186,TRUE,FALSE,NA,NA
"179","RT @NJAInteriors1: Hey @realDonaldTrump did you know the OBAMAS AND the CLINTONS are all invited to the Royal Wedding? 

That’s fricking aw…",FALSE,0,NA,2018-04-05 23:09:40,FALSE,NA,"982032554097283072",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","hmcgetanker",345,TRUE,FALSE,NA,NA
"180","RT @AmySandspeaks: ROYAL  WEDDING   UPDATE:          Invited to the nuptials- President Obama and First Lady Michelle.  Also invited- Bill…",FALSE,0,NA,2018-04-05 23:09:35,FALSE,NA,"982032529992634369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Garcie54",4873,TRUE,FALSE,NA,NA
"181","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:09:28,FALSE,NA,"982032502184402944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whyareweleaving",11186,TRUE,FALSE,NA,NA
